"SequenceFeature.primaryIdentifier","SequenceFeature.featureType","SequenceFeature.secondaryIdentifier","SequenceFeature.symbol","SequenceFeature.description","SequenceFeature.sgdAlias","SequenceFeature.qualifier"
"S000002390","ORF","YDL231C","BRE4","Zinc finger protein containing five transmembrane domains; null mutant exhibits strongly fragmented vacuoles and sensitivity to brefeldin A, a drug which is known to affect intracellular transport","","Verified"
"S000002391","ORF","YDL232W","OST4","Subunit of the oligosaccharyltransferase complex of the ER lumen; complex catalyzes protein asparagine-linked glycosylation; type I membrane protein required for incorporation of Ost3p or Ost6p into the OST complex","olichyl-diphosphooligosaccharide--protein glycotransferase OST4","Verified"
"S000002392","ORF","YDL233W","MFG1","Regulator of filamentous growth; interacts with FLO11 promoter and regulates FLO11 expression; binds to transcription factors Flo8p and Mss11p; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; YDL233W is not an essential gene","","Uncharacterized"
"S000002393","ORF","YDL234C","GYP7","GTPase-activating protein for yeast Rab family members; members include Ypt7p (most effective), Ypt1p, Ypt31p, and Ypt32p (in vitro); involved in vesicle mediated protein trafficking; contains a PH-like domain","GTPase-activating protein GYP7","Verified"
"S000002394","ORF","YDL235C","YPD1","Osmotic stress-responsive phosphorelay intermediate sensor protein; phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus","","Verified"
"S000002395","ORF","YDL236W","PHO13","Conserved phosphatase acting as a metabolite repair enzyme; shows specific dephosphorylating activity on two side-products of central carbohydrate metabolism, 2-phosphoglycolate and 4-phosphoerythronate; alkaline phosphatase specific for p-nitrophenyl phosphate; also has protein phosphatase activity; human ortholog PGP shows similar substrate specificity, deletion causes similar metabolite accumulation phenotypes, suggesting conserved role in eliminating glycolytic byproducts","4-nitrophenylphosphatase","Verified"
"S000002396","ORF","YDL237W","AIM6","Protein of unknown function; required for respiratory growth; YDL237W is not an essential gene","LRC1","Verified"
"S000002397","ORF","YDL238C","GUD1","Guanine deaminase; a catabolic enzyme of the guanine salvage pathway producing xanthine and ammonia from guanine; activity is low in exponentially-growing cultures but expression is increased in post-diauxic and stationary-phase cultures","guanine deaminase","Verified"
"S000002398","ORF","YDL239C","ADY3","Protein required for spore wall formation; subunit of leading edge protein (LEP) complex (Ssp1-Ady3-Don1-Irc10) that forms ring-like structure at leading edge of prospore membrane during meiosis II; mediates assembly of LEP complex, formation of ring-like structure via interaction with spindle pole body components, and prospore membrane maturation; potentially phosphorylated by Cdc28p; ADY3 has a paralog, CNM67, that arose from the whole genome duplication","","Verified"
"S000002399","ORF","YDL240W","LRG1","GTPase-activating protein (GAP); contains Rho1p-specific GAP activity, interacting with activated forms of Rho1p; functions along with Sac7p as a negative regulator of the Pkc1p-mediated cell wall integrity signaling pathway; negative regulator of cell wall 1,3-beta-glucan biosynthesis; required for efficient cell fusion; contains a RhoGAP domain and three Lin-11-Isl1-Mec-3 (LIM) domains","GTPase-activating protein LRG1","Verified"
"S000002400","ORF","YDL241W","","Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the endoplasmic reticulum; YDL241W is not an essential gene","","Uncharacterized"
"S000002401","ORF","YDL242W","","Putative protein of unknown function; conserved across S. cerevisiae strains","","Uncharacterized"
"S000002402","ORF","YDL243C","AAD4","Putative aryl-alcohol dehydrogenase; involved in oxidative stress response; similar to P. chrysosporium aryl-alcohol dehydrogenase; expression induced in cells treated with the mycotoxin patulin; members of the AAD gene family comprise three pairs (AAD3 + AAD15, AAD6/AAD16 + AAD4, AAD10 + AAD14) whose two genes are more related to one another than to other members of the family","putative aryl-alcohol dehydrogenase","Verified"
"S000002403","ORF","YDL244W","THI13","Protein involved in synthesis of the thiamine precursor HMP; member of a subtelomeric gene family including THI5, THI11, THI12, and THI13; hydroxymethylpyrimidine is also known as HMP","4-amino-5-hydroxymethyl-2-methylpyrimidine phosphate synthase","Verified"
"S000002404","ORF","YDL245C","HXT15","Putative transmembrane polyol transporter; supports growth on and uptake of mannitol, sorbitol and xylitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose","hexose transporter HXT15|HLT2","Verified"
"S000002405","ORF","YDL246C","SOR2","Sorbitol dehydrogenase; protein sequence is 99% identical to the Sor1p sorbitol dehydrogenase","L-iditol 2-dehydrogenase SOR2","Verified"
"S000002406","ORF","YDL247W","MPH2","Alpha-glucoside permease; transports maltose, maltotriose, alpha-methylglucoside, and turanose; almost identical to Mph3p; encoded in a subtelomeric position in a region likely to have undergone duplication","alpha-glucoside permease","Verified"
"S000002407","ORF","YDL248W","COS7","Endosomal protein involved in turnover of plasma membrane proteins; member of the DUP380 subfamily of conserved, often subtelomeric COS genes; required for the multivesicular vesicle body sorting pathway that internalizes plasma membrane proteins for degradation; Cos proteins provide ubiquitin in trans for nonubiquitinated cargo proteins; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies","","Verified"
"S000002408","ORF","YDR001C","NTH1","Neutral trehalase, degrades trehalose; required for thermotolerance and may mediate resistance to other cellular stresses; phosphorylated and activated by Cdc28p at the G1/S phase transition to coordinately regulate carbohydrate metabolism and the cell cycle; inhibited by Dcs1p; NTH1 has a paralog, NTH2, that arose from the whole genome duplication","alpha,alpha-trehalase NTH1","Verified"
"S000002409","ORF","YDR002W","YRB1","Ran GTPase binding protein; involved in nuclear protein import and RNA export, ubiquitin-mediated protein degradation during the cell cycle; shuttles between the nucleus and cytoplasm; is essential; homolog of human RanBP1","CST20|HTN1|Ran GTPase-binding protein YRB1|SFO1|STP52","Verified"
"S000002410","ORF","YDR003W","RCR2","Vacuolar ubiquitin ligase-substrate adaptor; delivered to vacuole using ubiquitin as a sorting signal; presumably functions within the endosomal-vacuolar trafficking pathway, affecting events that determine whether plasma membrane proteins are degraded or routed to the plasma membrane; RCR2 has a paralog, RCR1, that arose from the whole genome duplication","SSH5","Verified"
"S000002411","ORF","YDR004W","RAD57","Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad55p","putative DNA-dependent ATPase RAD57","Verified"
"S000002412","ORF","YDR005C","MAF1","Highly conserved negative regulator of RNA polymerase III; involved in tRNA processing and stability; inhibits tRNA degradation via rapid tRNA decay (RTD) pathway; binds N-terminal domain of Rpc160p subunit of Pol III to prevent closed-complex formation; regulated by phosphorylation mediated by TORC1, protein kinase A, Sch9p, casein kinase 2; localizes to cytoplasm during vegetative growth and translocates to nucleus and nucleolus under stress conditions","RNA polymerase III-inhibiting protein MAF1","Verified"
"S000002413","ORF","YDR006C","SOK1","Protein of unknown function; overexpression suppresses the growth defect of mutants lacking protein kinase A activity; involved in cAMP-mediated signaling; localized to the nucleus; similar to the mouse testis-specific protein PBS13","","Verified"
"S000002414","ORF","YDR007W","TRP1","Phosphoribosylanthranilate isomerase; catalyzes the third step in tryptophan biosynthesis; in 2004, the sequence of TRP1 from strain S228C was updated by changing the previously annotated internal STOP (TAA) to serine (TCA); enhances vegetative growth at low and high temperatures when used as an auxotrophic marker in strains such as W303","phosphoribosylanthranilate isomerase TRP1","Verified"
"S000002415","ORF","YDR008C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps TRP1/YDR007W on opposite strand","","Dubious"
"S000002416","ORF","YDR009W","GAL3","Transcriptional regulator; involved in activation of the GAL genes in response to galactose; forms a complex with Gal80p to relieve Gal80p inhibition of Gal4p; binds galactose and ATP but does not have galactokinase activity; GAL3 has a paralog, GAL1, that arose from the whole genome duplication","transcriptional regulator GAL3","Verified"
"S000002417","ORF","YDR010C","","Putative protein of unknown function; conserved across S. cerevisiae strains","","Uncharacterized"
"S000002418","ORF","YDR011W","SNQ2","Plasma membrane ATP-binding cassette (ABC) transporter; multidrug transporter involved in multidrug resistance and resistance to singlet oxygen species","ATP-binding cassette transporter SNQ2","Verified"
"S000002419","ORF","YDR012W","RPL4B","Ribosomal 60S subunit protein L4B; homologous to mammalian ribosomal protein L4 and bacterial L4; RPL4B has a paralog, RPL4A, that arose from the whole genome duplication","L2B|L4|L4B|ribosomal 60S subunit protein L4B|rp2|uL4|YL2","Verified"
"S000002420","ORF","YDR013W","PSF1","Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p); complex is localized to DNA replication origins and implicated in assembly of the DNA replication machinery","CDC101|DNA replication protein PSF1","Verified"
"S000002421","ORF","YDR014W","RAD61","Subunit of a complex that inhibits sister chromatid cohesion; also negatively regulates chromosome condensation; inhibited by Eco1p-acetylated cohesin subunits Smc3p and Mcd1p; binds Smc3p ATPase head of cohesin; related to the human Wapl protein that controls the association of cohesin with chromatin","WPL1","Verified"
"S000002422","ORF","YDR015C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; overlaps the verified gene HED1/YDR014W-A","","Dubious"
"S000002423","ORF","YDR016C","DAD1","Essential subunit of the Dam1 complex (aka DASH complex); complex couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; is transferred to the kinetochore prior to mitosis","","Verified"
"S000002424","ORF","YDR017C","KCS1","Inositol hexakisphosphate and inositol heptakisphosphate kinase; generation of high energy inositol pyrophosphates by Kcs1p is required for many processes such as vacuolar biogenesis, stress response, RNA polymerase I-mediated rRNA transcription and telomere maintenance; inositol hexakisphosphate is also known as IP6; inositol heptakisphosphate is also known as IP7","inositol polyphosphate kinase KCS1","Verified"
"S000002425","ORF","YDR018C","","Probable membrane protein with three predicted transmembrane domains; similar to C. elegans F55A11.5 and maize 1-acyl-glycerol-3-phosphate acyltransferase; YDR018C has a paralog, CST26, that arose from the whole genome duplication","putative acyltransferase","Uncharacterized"
"S000002426","ORF","YDR019C","GCV1","T subunit of the mitochondrial glycine decarboxylase complex; glycine decarboxylase is required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of levels of 5,10-methylene-THF in the cytoplasm","glycine decarboxylase subunit T|GSD1","Verified"
"S000002427","ORF","YDR020C","DAS2","Putative protein of unknown function; non-essential gene identified in a screen for mutants with increased levels of rDNA transcription; weak similarity with uridine kinases and with phosphoribokinases","putative uridine kinase DAS2|RRT3","Uncharacterized"
"S000002428","ORF","YDR021W","FAL1","Nucleolar protein required for maturation of 18S rRNA; member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases; 18S rRNA biogenesis defect of the null mutant is functionally complemented by human EIF4A3","ATP-dependent RNA helicase FAL1","Verified"
"S000002429","ORF","YDR022C","ATG31","Autophagy-specific protein required for autophagosome formation; forms a complex with Atg17p and Atg29p that localizes other proteins to the pre-autophagosomal structure; constitutively phosphorylated, and phosphorylation of residue S174 is required for function; high-copy suppressor of CIK1 deletion","CIS1","Verified"
"S000002430","ORF","YDR023W","SES1","Cytosolic seryl-tRNA synthetase; class II aminoacyl-tRNA synthetase that aminoacylates tRNA(Ser), displays tRNA-dependent amino acid recognition which enhances discrimination of the serine substrate, interacts with peroxin Pex21p","serine--tRNA ligase SES1|SerRS","Verified"
"S000002431","ORF","YDR024W","FYV1","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; mutation decreases survival upon exposure to K1 killer toxin","","Dubious"
"S000002432","ORF","YDR025W","RPS11A","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S11 and bacterial S17; N-terminally propionylated in vivo; RPS11A has a paralog, RPS11B, that arose from the whole genome duplication","ribosomal 40S subunit protein S11A|rp41A|S11A|S17|S18A|uS17|YS12","Verified"
"S000002433","ORF","YDR026C","NSI1","RNA polymerase I termination factor; binds to rDNA terminator element, required for efficient Pol I termination; required for rDNA silencing at NTS1; facilities association of Sir2p with NTS1, contributes to rDNA stability and cell longevity; interacts physically with Fob1p and RENT subunits, Sir2p and Net1p; may interact with ribosomes, based on co-purification experiments; Myb-like DNA-binding protein; NSI1 has a paralog, REB1, that arose from the whole genome duplication","YTT1","Verified"
"S000002434","ORF","YDR027C","VPS54","Component of the GARP (Golgi-associated retrograde protein) complex; GARP is required for the recycling of proteins from endosomes to the late Golgi, and for mitosis after DNA damage induced checkpoint arrest; potentially phosphorylated by Cdc28p; members of the GARP complex are Vps51p-Vps52p-Vps53p-Vps54p","CGP1|LUV1|TCS3","Verified"
"S000002435","ORF","YDR028C","REG1","Regulatory subunit of type 1 protein phosphatase Glc7p; involved in negative regulation of glucose-repressible genes; involved in regulation of the nucleocytoplasmic shuttling of Hxk2p; REG1 has a paralog, REG2, that arose from the whole genome duplication","HEX2|protein phosphatase regulator REG1|PZF240|SPP43|SRN1","Verified"
"S000002436","ORF","YDR029W","","Putative protein of unknown function; conserved among S. cerevisiae strains; YDR029W is not an essential gene","","Uncharacterized"
"S000002437","ORF","YDR030C","RAD28","Protein involved in DNA repair; related to the human CSA protein that is involved in transcription-coupled repair nucleotide excision repair","","Verified"
"S000002438","ORF","YDR031W","MIX14","Mitochondrial intermembrane space protein of unknown function; required for normal oxygen consumption; contains twin cysteine-x9-cysteine motifs; protein abundance increases in response to DNA replication stress","MIC14","Verified"
"S000002439","ORF","YDR032C","PST2","FMN-dependent NAD(P)H:quinone oxidoreductase; induced by oxidative stress in a Yap1p dependent manner; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress; PST2 has a paralog, RFS1, that arose from the whole genome duplication","flavodoxin-like fold family protein","Verified"
"S000002440","ORF","YDR033W","MRH1","Protein that localizes primarily to the plasma membrane; also found at the nuclear envelope; long-lived protein that is asymmetrically retained in the plasma membrane of mother cells; the authentic, non-tagged protein is detected in mitochondria in a phosphorylated state; null mutation confers sensitivity to acetic acid","","Verified"
"S000002441","ORF","YDR034C","LYS14","Transcriptional activator involved in regulating lysine biosynthesis; involved in the regulation of genes of the lysine biosynthesis pathway; requires 2-aminoadipate semialdehyde as co-inducer","","Verified"
"S000002442","ORF","YDR035W","ARO3","3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by phenylalanine or high concentration of tyrosine or tryptophan","3-deoxy-7-phosphoheptulonate synthase ARO3","Verified"
"S000002443","ORF","YDR036C","EHD3","3-hydroxyisobutyryl-CoA hydrolase; member of a family of enoyl-CoA hydratase/isomerases; non-tagged protein is detected in highly purified mitochondria in high-throughput studies; phosphorylated; mutation affects fluid-phase endocytosis","3-hydroxyisobutyryl-CoA hydrolase|MRP5|mS47","Verified"
"S000002444","ORF","YDR037W","KRS1","Lysyl-tRNA synthetase","GCD5|lysine--tRNA ligase KRS1","Verified"
"S000002445","ORF","YDR038C","ENA5","Protein with similarity to P-type ATPase sodium pumps; member of the Na+ efflux ATPase family","putative Na(+)-exporting P-type ATPase ENA5","Verified"
"S000002446","ORF","YDR039C","ENA2","P-type ATPase sodium pump; involved in Na+ efflux to allow salt tolerance; likely not involved in Li+ efflux","Na(+)-exporting P-type ATPase ENA2","Verified"
"S000002447","ORF","YDR040C","ENA1","P-type ATPase sodium pump; involved in Na+ and Li+ efflux to allow salt tolerance","HOR6|Na(+)/Li(+)-exporting P-type ATPase ENA1|PMR2","Verified"
"S000002448","ORF","YDR041W","RSM10","Mitochondrial ribosomal protein of the small subunit; has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins","mitochondrial 37S ribosomal protein RSM10|uS10m","Verified"
"S000002449","ORF","YDR042C","","Putative protein of unknown function; expression is increased in ssu72-ts69 mutant","","Uncharacterized"
"S000002450","ORF","YDR043C","NRG1","Transcriptional repressor; recruits the Cyc8p-Tup1p complex to promoters; mediates glucose repression and negatively regulates a variety of processes including filamentous growth and alkaline pH response; activated in stochastic pulses of nuclear localization in response to low glucose","transcriptional regulator NRG1","Verified"
"S000002451","ORF","YDR044W","HEM13","Coproporphyrinogen III oxidase; oxygen-requiring enzyme that catalyzes sixth step in heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p); human homolog CPOX can complement yeast mutant and allow growth of haploid null after sporulation of a heterozygous diploid","coproporphyrinogen oxidase","Verified"
"S000002452","ORF","YDR045C","RPC11","RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS","C11|DNA-directed RNA polymerase III core subunit RPC11","Verified"
"S000002453","ORF","YDR046C","BAP3","Amino acid permease; involved in uptake of cysteine, leucine, isoleucine and valine; BAP3 has a paralog, BAP2, that arose from the whole genome duplication","amino acid transporter BAP3|PAP1","Verified"
"S000002454","ORF","YDR047W","HEM12","Uroporphyrinogen decarboxylase; catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda","HEM6|uroporphyrinogen decarboxylase HEM12","Verified"
"S000002455","ORF","YDR048C","","Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps ORF VMS1/YDR049W","","Dubious"
"S000002456","ORF","YDR049W","VMS1","Peptidyl-tRNA hydrolase that releases stalled peptides from ribosomes, component of a Cdc48p-complex; involved in protein quality control; exhibits cytosolic and ER-membrane localization; contributes to ER-associated degradation (ERAD) of specific substrates at a step after their ubiquitination; translocates to mitochondria under oxidative stress and forms a complex with Cdc48p and Npl4p that is required for ubiquitin-mediated mitochondria-associated protein degradation (MAD)","","Verified"
"S000002457","ORF","YDR050C","TPI1","Triose phosphate isomerase, abundant glycolytic enzyme; mRNA half-life is regulated by iron availability; transcription is controlled by activators Reb1p, Gcr1p, and Rap1p through binding sites in the 5' non-coding region; inhibition of Tpi1p activity by PEP (phosphoenolpyruvate) stimulates redox metabolism in respiring cells; E104D mutation in human homolog TPI1 causes a rare autosomal disease; human TPI1 can complement yeast null mutant","triose-phosphate isomerase TPI1","Verified"
"S000002458","ORF","YDR051C","DET1","Acid phosphatase; involved in the non-vesicular transport of sterols in both directions between the endoplasmic reticulum and plasma membrane; deletion confers sensitivity to nickel","acid phosphatase DET1","Verified"
"S000002459","ORF","YDR052C","DBF4","Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress; co-expression of human CDC7 and DBF4 complements single cdc7 or dbf4 null mutations or the cdc7 dbf4 double null mutation","DNA52|LSD7|protein serine/threonine kinase activating protein DBF4","Verified"
"S000002460","ORF","YDR053W","","Putative protein of unknown function; open reading frame overlaps 5' end of essential DBF4 gene encoding the regulatory subunit of the Cdc7p-Dbf4p kinase complex","","Dubious"
"S000002461","ORF","YDR054C","CDC34","Ubiquitin-conjugating enzyme (E2); catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation; protein abundance increases in response to DNA replication stress; human CDC34 functionally complements the thermosensitivity of the cdc34-2 mutant","DNA6|SCF E2 ubiquitin-protein ligase catalytic subunit CDC34|UBC3","Verified"
"S000002462","ORF","YDR055W","PST1","Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1; PST1 has a paralog, ECM33, that arose from the whole genome duplication","HPF2","Verified"
"S000002463","ORF","YDR056C","EMC10","Putative protein of unknown function; subunit of evolutionarily conserved EMC (Endoplasmic Reticulum Membrane Complex) implicated in ERAD (ER-associated degradation) and proper assembly of multi-pass transmembrane (TM) proteins; EMC acts in yeast as an ER-mitochondria tether that interacts with outer membrane protein Tom5p of TOM (Translocase of the Mitochondrial Outer Membrane) complex; YDR056C is not an essential protein","","Uncharacterized"
"S000002464","ORF","YDR057W","YOS9","ER quality-control lectin; integral subunit of the HRD ligase; participates in efficient ER retention of misfolded proteins by recognizing them and delivering them to Hrd1p; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family","","Verified"
"S000002465","ORF","YDR058C","TGL2","Triacylglycerol lipase that is localized to the mitochondria; has lipolytic activity towards triacylglycerols and diacylglycerols when expressed in E. coli","triglyceride lipase","Verified"
"S000002466","ORF","YDR059C","UBC5","Ubiquitin-conjugating enzyme; mediates selective degradation of short-lived, abnormal, or excess proteins, including histone H3; central component of the cellular stress response; expression is heat inducible; protein abundance increases in response to DNA replication stress; UBC5 has a paralog, UBC4, that arose from the whole genome duplication","E2 ubiquitin-conjugating protein UBC5","Verified"
"S000002467","ORF","YDR060W","MAK21","Constituent of 66S pre-ribosomal particles; required for large (60S) ribosomal subunit biogenesis; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein","NOC1|RNA-binding ribosome biosynthesis protein MAK21","Verified"
"S000002468","ORF","YDR061W","","Protein with similarity to ABC transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance","","Uncharacterized"
"S000002469","ORF","YDR062W","LCB2","Component of serine palmitoyltransferase; responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine","SCS1|serine C-palmitoyltransferase LCB2|TSC1","Verified"
"S000002470","ORF","YDR063W","AIM7","Protein that interacts with Arp2/3 complex; interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss","GMF|GMF1","Verified"
"S000002471","ORF","YDR064W","RPS13","Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S13 and bacterial S15","ribosomal 40S subunit protein S13|RPS13B|RPS13C|S13|S15|S27a|uS15|YS15","Verified"
"S000002472","ORF","YDR065W","RRG1","Protein of unknown function; required for efficient 5' processing of mitochondrial tRNAs, for respiratory growth and mitochondrial genome maintenance; required for vacuolar acidification; localizes to the matrix side of the inner mitochondrial membrane","MTA2","Verified"
"S000002473","ORF","YDR066C","RTR2","Protein of unknown function; exhibits genetic interactions with Rtr1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YDR066C is not an essential gene; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress; RTR2 has a paralog, RTR1, that arose from the whole genome duplication","putative protein-serine/threonine phosphatase","Verified"
"S000002474","ORF","YDR067C","OCA6","Cytoplasmic protein required for replication of Brome mosaic virus; S. cerevisiae is a model system for studying positive-strand RNA virus replication; null mutation confers sensitivity to tunicamycin and DTT","protein-tyrosine-phosphatase","Uncharacterized"
"S000002475","ORF","YDR068W","DOS2","Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm","","Verified"
"S000002476","ORF","YDR069C","DOA4","Ubiquitin hydrolase; deubiquitinates intralumenal vesicle (ILVs) cargo proteins; required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins destined for the vacuole; DOA4 has a paralog, UBP5, that arose from the whole genome duplication","DOS1|MUT4|NPI2|SSV7|ubiquitin-specific protease DOA4|UBP4","Verified"
"S000002477","ORF","YDR070C","FMP16","Protein of unknown function; may be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; protein abundance increases in response to DNA replication stress","","Verified"
"S000002478","ORF","YDR071C","PAA1","Polyamine acetyltransferase; acetylates polyamines (e.g. putrescine, spermidine, spermine) and also aralkylamines (e.g. tryptamine, phenylethylamine); may be involved in transcription and/or DNA replication","polyamine acetyltransferase","Verified"
"S000002479","ORF","YDR072C","IPT1","Inositolphosphotransferase; involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid; can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin","inositolphosphotransferase|KTI6|MIC2|SYR4","Verified"
"S000002480","ORF","YDR073W","SNF11","Subunit of the SWI/SNF chromatin remodeling complex; involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p; relocates to the cytosol under hypoxic conditions","","Verified"
"S000002481","ORF","YDR074W","TPS2","Phosphatase subunit of the trehalose-6-P synthase/phosphatase complex; involved in the synthesis of storage carbohydrate trehalose; positive regulator of autophagy involved in the dephosphorylation of Rim15p leading to ATG8 induction; expression is induced by stress conditions and repressed by the Ras-cAMP pathway; protein abundance increases in response to DNA replication stress","HOG2|PFK3|trehalose-phosphatase TPS2","Verified"
"S000002482","ORF","YDR075W","PPH3","Catalytic subunit of protein phosphatase PP4 complex; Pph3p and Psy2p form active complex, Psy4p may provide substrate specificity; regulates recovery from the DNA damage checkpoint, the gene conversion- and single-strand annealing-mediated pathways of meiotic double-strand break repair and efficient Non-Homologous End-Joining (NHEJ) pathway; involved in activation of Gln3p to alleviate nitrogen catabolite repression; Pph3p and Psy2p localize to foci on meiotic chromosomes","phosphoprotein phosphatase PP4 catalytic subunit PPH3","Verified"
"S000002483","ORF","YDR076W","RAD55","Protein that stimulates strand exchange; stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p","putative DNA-dependent ATPase RAD55","Verified"
"S000002484","ORF","YDR077W","SED1","Major stress-induced structural GPI-cell wall glycoprotein; associates with translating ribosomes, possible role in mitochondrial genome maintenance; ORF contains two distinct variable minisatellites; SED1 has a paralog, SPI1, that arose from the whole genome duplication","","Verified"
"S000002485","ORF","YDR078C","SHU2","Component of Shu complex (aka PCSS complex); Shu complex also includes Psy3, Csm2, Shu1, and promotes error-free DNA repair, Shu complex mediates inhibition of Srs2p function; promotes formation of Rad51p filaments; important for both mitotic and meiotic homologous recombination, and contains a conserved SWIM domain that is necessary for both","","Verified"
"S000002486","ORF","YDR079W","PET100","Chaperone that facilitates the assembly of cytochrome c oxidase; integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme","","Verified"
"S000002487","ORF","YDR080W","VPS41","Subunit of the HOPS endocytic tethering complex; vacuole membrane protein that functions as a Rab GTPase effector, interacting specifically with the GTP-bound conformation of Ypt7p, facilitating tethering, docking and promoting membrane fusion events at the late endosome and vacuole; required for both membrane and protein trafficking; Yck3p-mediated phosphorylation regulates the organization of vacuolar fusion sites","CVT8|FET2|SVL2|VAM2|VPL20","Verified"
"S000002488","ORF","YDR081C","PDC2","Transcription factor for thiamine-regulated genes; required for expression of the two isoforms of pyruvate decarboxylase (PDC1 and PDC5) along with thiamine biosynthetic genes; binds a DNA sequence in the PDC5 promoter; mutant fails to grow on 2% glucose and thus is scored as inviable under standard conditions","","Verified"
"S000002489","ORF","YDR082W","STN1","Telomere end-binding and capping protein; plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping; similar to human Stn1","","Verified"
"S000002490","ORF","YDR083W","RRP8","Nucleolar S-adenosylmethionine-dependent rRNA methyltransferase; methylates adenine (m1A) of the large subunit (LSU) rRNA at position 645; involved in pre-rRNA cleavage at site A2; mutation is synthetically lethal with a gar1 mutation; deletion disrupts telomere maintenance by influencing the expression of neighboring gene STN1","25S rRNA (adenine645-N1)-methyltransferase","Verified"
"S000002491","ORF","YDR084C","TVP23","Integral membrane protein; localized to late Golgi vesicles along with the v-SNARE Tlg2p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern","","Verified"
